,chapter,dim0,dim1,book_number,book_name,book_ch,sentiment_score,chapter_length
736,58,-0.1205781108148352,0.0547539444803878,23,Isaiah,23-58,0.2115384615384615,14
737,59,-0.1290709089997186,-0.0354119557735296,23,Isaiah,23-59,0.1359223300970873,21
738,60,-0.1154606812196576,-0.1023765021916332,23,Isaiah,23-60,0.29,22
739,61,-0.0663011708276953,-0.0585426423684362,23,Isaiah,23-61,0.2692307692307692,11
740,62,-0.0492689160344802,-0.0362149640583956,23,Isaiah,23-62,0.3529411764705882,12
741,63,-0.0395978484572949,-0.0261141762864949,23,Isaiah,23-63,0.2185430463576159,19
742,64,-0.1555942150827382,0.0088916781886339,23,Isaiah,23-64,0.1707317073170731,12
743,65,-0.0960709578054897,0.0145893324642588,23,Isaiah,23-65,0.1937984496124031,25
744,66,-0.1340746830483017,0.0470590401054611,23,Isaiah,23-66,0.1920731707317073,24
745,1,0.0433013393715088,-0.1777141790939654,24,Jeremiah,24-1,0.2642857142857143,19
746,2,-0.2459081872704654,-0.0014436223366003,24,Jeremiah,24-2,0.2211838006230529,37
747,3,-0.2470707783437137,-0.0203364288095557,24,Jeremiah,24-3,0.2184873949579832,25
748,4,-0.2874619852198485,0.1968904082225618,24,Jeremiah,24-4,0.212,31
749,5,-0.260062516561832,0.0376649135623548,24,Jeremiah,24-5,0.2022471910112359,31
750,6,-0.24728798425261,0.15194045560202,24,Jeremiah,24-6,0.1877394636015325,30
751,7,-0.1609208503760454,-0.1885548672256699,24,Jeremiah,24-7,0.1865079365079365,34
752,8,-0.2079426168202026,0.1305951245283116,24,Jeremiah,24-8,0.1802575107296137,22
753,9,-0.2684293791693024,0.1286665373372071,24,Jeremiah,24-9,0.205574912891986,26
754,10,-0.1881191834363144,0.1841354863985923,24,Jeremiah,24-10,0.1840796019900497,25
755,11,-0.1211838171181135,-0.2107269323939394,24,Jeremiah,24-11,0.1822222222222222,23
756,12,-0.2240863355058729,0.1640599243115558,24,Jeremiah,24-12,0.1726190476190476,17
757,13,-0.1018372209096267,-0.0160630099086501,24,Jeremiah,24-13,0.215,27
758,14,-0.1870280886980238,-0.0681448723869575,24,Jeremiah,24-14,0.188,22
759,15,-0.1674685437483195,0.0236694425769755,24,Jeremiah,24-15,0.1914893617021276,21
760,16,-0.2501122639368568,-0.0510411659122651,24,Jeremiah,24-16,0.211864406779661,21
761,17,-0.1393203696558099,0.0055264755402779,24,Jeremiah,24-17,0.2111553784860557,27
762,18,-0.1255001237511412,0.03932205279176,24,Jeremiah,24-18,0.1822916666666666,23
763,19,-0.0687565175042202,-0.11847286139293,24,Jeremiah,24-19,0.1692307692307692,15
764,20,-0.0335879854368871,-0.0442540573620874,24,Jeremiah,24-20,0.1556603773584905,18
765,21,0.1603738347532396,-0.1605067737611003,24,Jeremiah,24-21,0.1729729729729729,14
766,22,-0.0272739558742294,-0.0814081427583481,24,Jeremiah,24-22,0.1945525291828793,30
767,23,-0.2295304688109192,-0.1747771621517694,24,Jeremiah,24-23,0.2125984251968504,40
768,24,0.1223221311517658,0.0286371852303719,24,Jeremiah,24-24,0.225,10
769,25,-0.1117797172441984,-0.0646577201525884,24,Jeremiah,24-25,0.2031746031746031,38
770,26,0.1386181856431043,-0.2351638534309125,24,Jeremiah,24-26,0.1672727272727272,24
771,27,0.2713836102101269,-0.2228444576648806,24,Jeremiah,24-27,0.2857142857142857,22
772,28,0.2860502796463391,-0.2306481807668021,24,Jeremiah,24-28,0.2376237623762376,17
773,29,0.1053740085726508,-0.2168400878978993,24,Jeremiah,24-29,0.223728813559322,32
774,30,-0.2257631740065109,-0.0146691402249612,24,Jeremiah,24-30,0.1822033898305084,24
775,31,-0.2574829234417491,0.0106775885494139,24,Jeremiah,24-31,0.2470308788598574,40
776,32,0.1188420719914424,-0.1616940369564559,24,Jeremiah,24-32,0.2328767123287671,44
777,33,-0.1559219018032694,-0.1156721755137791,24,Jeremiah,24-33,0.2254545454545454,26
778,34,0.1458831335273616,-0.2150886362957789,24,Jeremiah,24-34,0.2901234567901234,22
779,35,0.1321538872167944,-0.0526987442740438,24,Jeremiah,24-35,0.2589285714285714,19
780,36,0.3707536504921589,-0.0847653213539769,24,Jeremiah,24-36,0.2755905511811024,32
781,37,0.4123783472412202,-0.184702386967368,24,Jeremiah,24-37,0.2564102564102564,21
782,38,0.4312310163903343,-0.1558217524343388,24,Jeremiah,24-38,0.2398190045248869,28
783,39,0.5238465374086666,0.0391476475328145,24,Jeremiah,24-39,0.2857142857142857,18
784,40,0.4752792820349402,0.5299475149102338,24,Jeremiah,24-40,0.3425925925925926,16
785,41,0.4731301399478329,0.6147702761328171,24,Jeremiah,24-41,0.1451612903225806,18
786,42,-0.0061648318038153,-0.0951606311801786,24,Jeremiah,24-42,0.2103448275862069,22
787,43,0.309992205612399,0.1382762921646804,24,Jeremiah,24-43,0.2520325203252032,13
788,44,-0.0800987454658368,-0.1536890577972905,24,Jeremiah,24-44,0.1965317919075144,30
789,45,0.1654783464920588,-0.0122846498237599,24,Jeremiah,24-45,0.1774193548387097,5
790,46,-0.0776582713830048,0.147893057391465,24,Jeremiah,24-46,0.2008547008547008,28
791,47,-0.001718576709038,0.2371054628297014,24,Jeremiah,24-47,0.21875,7
792,48,-0.0807882666400386,0.3389217202345068,24,Jeremiah,24-48,0.1312849162011173,47
793,49,-0.1791931897193207,0.1706611576456736,24,Jeremiah,24-49,0.1666666666666666,39
794,50,-0.156322233424631,0.1030381658466939,24,Jeremiah,24-50,0.195852534562212,46
795,51,-0.0566328152097789,0.1086009894338969,24,Jeremiah,24-51,0.17825311942959,64
796,52,0.4920218115476017,-0.0003029705450332,24,Jeremiah,24-52,0.312,34
797,1,-0.3818784879829826,0.0770163798446912,25,Lamentations,25-1,0.1683673469387755,22
798,2,-0.2442421716454312,0.1432961339605656,25,Lamentations,25-2,0.1941747572815534,22
799,3,-0.3121511044541712,-0.4895720250140236,25,Lamentations,25-3,0.1492063492063492,66
800,4,0.2428688939557715,0.6091353182404748,25,Lamentations,25-4,0.2093023255813953,22
801,5,0.6954028701268137,-0.3398758070317079,25,Lamentations,25-5,0.1458333333333333,22
802,1,0.2542545414446659,0.140118785989822,26,Ezekiel,26-1,0.3928571428571428,28
