index,chapter,dim0,dim1,book
27,28,0.34448076693100427,0.23211338618563668,13
28,29,0.41415041174809886,0.18949118990123606,13
0,1,0.2745820881187024,0.12019343358563593,14
1,2,0.2488734324649264,0.17105474355979552,14
2,3,0.420243093800272,0.4506325331532424,14
3,4,0.39136718903950474,0.4341796727238283,14
4,5,0.4097094596174937,-0.13898614268398418,14
5,6,0.13400495673526647,-0.1778798447432284,14
6,7,0.3107326793757527,-0.2798991647230927,14
7,8,0.3520426432949409,0.02603063474303526,14
8,9,0.3245323452479985,0.3221846734068409,14
9,10,-0.05692970468539785,0.09337678774449419,14
10,11,-0.11695014395095381,0.12085549505657309,14
11,12,-0.11575387119048211,0.11626407547802103,14
12,13,-0.08448996663809029,0.014374614890972625,14
13,14,-0.2813300566803306,0.12319563744839328,14
14,15,-0.15980469321354784,-0.030255746460637247,14
15,16,-0.20372305826391626,0.18965054862589434,14
16,17,-0.2513857855776355,0.1625577552856345,14
17,18,-0.22909328372344828,0.007144409994278348,14
18,19,-0.1706270660963816,-0.15308847089803648,14
19,20,-0.25215904287654456,-0.07857708956760592,14
20,21,-0.29101374755706694,0.1399270210946722,14
21,22,-0.27567696330763475,0.21357023785894158,14
22,23,0.006639930102790432,-0.20685444766321653,14
23,24,-0.06741729262535155,-0.16555266447992453,14
24,25,-0.20064791984891692,0.07421465583139011,14
25,26,-0.07255851677820259,0.16715537305344183,14
26,27,-0.1322054501232661,0.28831411026376674,14
27,28,-0.16780908910810868,-0.09928816739906553,14
28,29,0.17785173309548216,-0.3885920415225692,14
29,30,0.10572257372599189,-0.4291542950336393,14
30,31,0.08190773173912907,-0.27181328728638693,14
31,32,-0.1047614846125411,-0.12500595338157397,14
32,33,-0.04281028542147685,-0.15986791031828146,14
33,34,-0.06927233962531855,-0.2095745205914435,14
34,35,0.16772198295553734,-0.26489044132361667,14
35,36,-0.059512077409176,-0.05559622572254949,14
0,1,-0.2114131866443368,0.2355931347265851,15
1,2,0.6262577102990817,0.7348437304718962,15
2,3,0.15644758169868223,-0.3062178570229424,15
3,4,-0.4262852146426243,0.15629991702868112,15
4,5,-0.5121391954464198,0.09291596783317134,15
5,6,-0.30124387211609854,0.027580955922395758,15
6,7,-0.1107866336249091,-0.06918401419398887,15
7,8,0.2956391597453392,-0.21698814599336996,15
8,9,0.1332878343966172,-0.21143813261335107,15
9,10,0.35023581633466766,-0.4434055561590779,15
0,1,-0.324273360772289,0.1907788596902632,16
1,2,-0.373446871411767,-0.3030609904370713,16
2,3,0.5128345090483888,-0.4040612716969286,16
3,4,-0.29149605535208756,-0.3781581031034825,16
4,5,-0.33907130104498606,-0.052705407198561795,16
5,6,-0.19346529778461813,-0.400924934421183,16
6,7,0.2554468091584539,0.1706101652532086,16
7,8,-0.021613203720196556,0.3539403072121469,16
8,9,-0.3188962593343461,0.24590533290872518,16
9,10,0.15803926077397154,0.4924082886819206,16
10,11,0.6290527377400453,-0.1602108364779474,16
11,12,0.41200047258703393,0.08022716518868159,16
12,13,-0.10511143988760266,0.16525142440022889,16
0,1,0.07419070614482767,0.14589286182133893,17
1,2,-0.1559941821419826,0.04641667559166577,17
2,3,0.14135344136099434,-0.30214358620258125,17
3,4,-0.036365513017200875,-0.05694427339290694,17
4,5,-0.4379489971440833,0.018154649629108746,17
5,6,-0.4054907238203097,0.0968957414704715,17
6,7,-0.4072855900652451,0.004125995307804351,17
7,8,0.22912886592984238,-0.3143319396650456,17
8,9,0.5184173677969468,-0.40931840141519443,17
9,10,0.47999462495621,0.7712522768553394,17
0,1,0.6957400325382591,0.2812833109486555,18
1,2,0.616714241846723,0.3266224742948145,18
2,3,-0.08904168410830586,-0.06398820397391328,18
3,4,0.09026037193915022,-0.12906647691908804,18
4,5,-0.07272158298914085,-0.13284431077534065,18
5,6,-0.287910757988847,0.2556545571312937,18
6,7,-0.1630802600445578,0.10009799424666438,18
7,8,-0.06985526620192783,-0.13347837237742022,18
8,9,-0.21778671304878966,0.19027200944110106,18
9,10,-0.28246629305990995,0.3153514015374038,18
10,11,-0.05750282561123136,0.04970393023437134,18
11,12,0.09797985168009711,-0.24135860852790803,18
12,13,-0.20473814172428953,0.18125897883356276,18
13,14,-0.17043072663884612,-0.046378831172632314,18
14,15,-0.023522285924493888,-0.156547820929312,18
15,16,-0.1597883608279328,0.17099222279014673,18
16,17,-0.1409239337110848,0.020915772038165106,18
17,18,0.0740358519341868,-0.3064064116921849,18
18,19,-0.1405357352936193,0.2940522725150351,18
19,20,-0.06983497547692744,-0.24674287185590224,18
20,21,-0.11293651491418762,-0.03752966527468927,18
21,22,0.031129659714379136,-0.09687482936648421,18
22,23,-0.2708916688917414,0.3209580956170103,18
23,24,-0.03519747130255197,-0.18464690786965002,18
